Level Name: Yoru Ni Kakeru
BPM: 130
Song: yoru_ni_kakeru.mp3
Best Score: 0
kat 1124.0 1204.0
don 1211.0 1291.0
kat 1298.0 1378.0
kat 1482.499999999999 1562.499999999999
don 1573.499999999999 1653.499999999999
roll 1668.4999999999982 2036.4999999999982
don 2438.5166666666646 2518.5166666666646
don 2727.5166666666646 2807.5166666666646
don 2822.016666666664 2902.016666666664
don 3096.5166666666632 3176.5166666666632
don 3190.5166666666632 3270.5166666666632
don 2526.8 2606.8
don 2625.8 2705.8
don 2918.8 2998.8
don 3006.8 3086.8
don 3285.7999999999993 3365.7999999999993
Ddon 3383.7999999999993 3504.7999999999993
Ddon 3466.7999999999993 3587.7999999999993
Ddon 3557.799999999998 3678.799999999998
roll 3686.6999999999994 3919.6999999999994
