Level Name: Yoru Ni Kakeru
BPM: 130
Song: yoru_ni_kakeru.mp3
Best Score: 0
Difficulty: normal
Ddon 3466.7999999999993 3587.7999999999993
Ddon 3557.799999999998 3678.799999999998
roll 3686.6999999999994 3919.6999999999994
kat 1045.5 1125.5
don 1134.5 1214.5
kat 1225.5 1305.5
kat 1402.9999999999986 1482.9999999999986
don 1491.9999999999986 1571.9999999999986
roll 1581.9999999999986 1870.9999999999986
don 2485.9999999999964 2565.9999999999964
don 2571.9999999999964 2651.9999999999964
don 2843.9999999999964 2923.9999999999964
don 2664.9999999999964 2744.9999999999964
don 2755.9999999999964 2835.9999999999964
don 2932.9999999999955 3012.9999999999955
don 3017.9999999999955 3097.9999999999955
don 3108.9999999999955 3188.9999999999955
don 3203.9999999999955 3283.9999999999955
don 3298.9999999999955 3378.9999999999955
don 4080.8888888888964 4160.888888888896
don 4127.888888888896 4207.888888888896
don 4171.888888888896 4251.888888888896
don 4272.7777777777865 4352.7777777777865
don 4316.7777777777865 4396.7777777777865
don 4357.7777777777865 4437.7777777777865
don 4456.4444444444525 4536.4444444444525
don 4496.4444444444525 4576.4444444444525
don 4545.4444444444525 4625.4444444444525
don 4641.4444444444525 4721.4444444444525
don 4683.4444444444525 4763.4444444444525
don 4732.4444444444525 4812.4444444444525
don 4824.666666666667 4904.666666666667
don 4866.666666666667 4946.666666666667
don 4911.666666666667 4991.666666666667
don 5002.666666666667 5082.666666666667
don 5040.666666666667 5120.666666666667
don 5087.666666666667 5167.666666666667
Ddon 5188.842592592593 5309.842592592593
Ddon 5258.842592592593 5379.842592592593
don 3969.703703703704 4049.703703703704
don 5416.444444444437 5496.444444444437
don 5453.444444444437 5533.444444444437
don 5494.444444444437 5574.444444444437
don 5588.444444444437 5668.444444444437
don 5621.444444444437 5701.444444444437
don 5666.444444444437 5746.444444444437
kat 5761.555555555557 5841.555555555557
kat 5796.555555555557 5876.555555555557
kat 5838.555555555557 5918.555555555557
don 5926.555555555536 6006.555555555536
don 5962.555555555536 6042.555555555536
don 6005.555555555536 6085.555555555536
don 6103.555555555536 6183.555555555536
don 6138.555555555536 6218.555555555536
don 6178.555555555536 6258.555555555536
kat 6271.444444444419 6351.444444444419
kat 6307.444444444419 6387.444444444419
kat 6349.444444444419 6429.444444444419
don 6446.1666666666315 6526.1666666666315
don 6486.1666666666315 6566.1666666666315
don 6530.1666666666315 6610.1666666666315
roll 6628.1666666666315 7000.1666666666315
