Level Name: Yoru Ni Kakeru
BPM: 130
Song: yoru_ni_kakeru.mp3
Best Score: 0
Difficulty: normal
Ddon 3466.7999999999993 3587.7999999999993
Ddon 3557.799999999998 3678.799999999998
roll 3686.6999999999994 3919.6999999999994
kat 1045.5 1125.5
don 1134.5 1214.5
kat 1225.5 1305.5
kat 1402.9999999999986 1482.9999999999986
don 1491.9999999999986 1571.9999999999986
roll 1581.9999999999986 1870.9999999999986
don 2485.9999999999964 2565.9999999999964
don 2843.9999999999964 2923.9999999999964
don 2664.9999999999964 2744.9999999999964
don 3017.9999999999955 3097.9999999999955
don 3203.9999999999955 3283.9999999999955
don 4080.8888888888964 4160.888888888896
don 4272.7777777777865 4352.7777777777865
don 4456.4444444444525 4536.4444444444525
don 4641.4444444444525 4721.4444444444525
don 4824.666666666667 4904.666666666667
don 5002.666666666667 5082.666666666667
Ddon 5188.842592592593 5309.842592592593
don 5416.444444444437 5496.444444444437
don 5588.444444444437 5668.444444444437
kat 5761.555555555557 5841.555555555557
don 5926.555555555536 6006.555555555536
don 6103.555555555536 6183.555555555536
kat 6271.444444444419 6351.444444444419
don 6446.1666666666315 6526.1666666666315
roll 6628.1666666666315 7000.1666666666315
kat 2576.166666666667 2656.166666666667
kat 2756.166666666667 2836.166666666667
kat 2933.166666666667 3013.166666666667
kat 3112.166666666667 3192.166666666667
kat 3300.166666666667 3380.166666666667
Ddon 7080.240740740741 7201.240740740741
